a,b,c,d,e,f,g,h,i
1,20,39,58,77,96,115,134,153
2,21,40,59,77,97,116,135,154
3,22,41,60,79,98,117,136,155
4,23,42,61,80,99,118,137,156
5,24,43,62,81,100,119,138,157
6,25,44,63,82,101,120,139,158
7,26,45,64,83,102,121,140,159
8,27,46,65,84,103,122,141,160
9,28,47,66,85,104,123,142,161
10,29,48,67,86,105,124,143,162
11,30,49,68,87,106,125,144,163
12,31,50,69,88,107,126,145,164
13,32,51,70,89,108,127,146,165
14,33,52,71,90,109,128,147,166
15,34,53,72,91,110,129,148,167
16,35,54,73,92,111,130,149,168
17,36,55,74,93,112,131,150,169
18,37,56,75,94,113,132,151,170
19,38,57,76,95,114,133,152,171
